Model,Epoch,Accuracy,Val_Accuracy
ResNet50,1,0.6529017686843872,0.787109375
ResNet50,2,0.7723214030265808,0.8017578125
ResNet50,3,0.7751116156578064,0.802734375
ResNet50,4,0.7765067219734192,0.7978515625
ResNet50,5,0.7882254719734192,0.826171875
ResNet50,6,0.7712053656578064,0.8408203125
ResNet50,7,0.80078125,0.8359375
ResNet50,8,0.7918526530265808,0.8291015625
ResNet50,9,0.7982701063156128,0.798828125
ResNet50,10,0.8035714030265808,0.8349609375
ResNet50,11,0.8127790093421936,0.8427734375
ResNet50,12,0.8161272406578064,0.8603515625
ResNet50,13,0.833984375,0.845703125
ResNet50,14,0.8390067219734192,0.84375
ResNet50,15,0.8267298936843872,0.8193359375
ResNet50,16,0.8166852593421936,0.85546875
ResNet50,17,0.8138951063156128,0.84375
ResNet50,18,0.8080357313156128,0.84765625
ResNet50,19,0.8253348469734192,0.8193359375
ResNet50,20,0.8172432780265808,0.85546875
ResNet50,21,0.8351004719734192,0.8544921875
ResNet50,22,0.8359375,0.8544921875
ResNet50,23,0.8376116156578064,0.8369140625
ResNet50,24,0.8423548936843872,0.833984375
ResNet50,25,0.8381696343421936,0.8544921875
ResNet50,26,0.84375,0.8515625
ResNet50,27,0.859375,0.8544921875
ResNet50,28,0.8331473469734192,0.7998046875
ResNet50,29,0.8443080186843872,0.8583984375
ResNet50,30,0.837890625,0.83984375
ResNet50,31,0.8412388563156128,0.8564453125
ResNet50,32,0.8568638563156128,0.859375
ResNet50,33,0.8482142686843872,0.861328125
ResNet50,34,0.8468192219734192,0.8681640625
ResNet50,35,0.8303571343421936,0.85546875
ResNet50,36,0.8543526530265808,0.861328125
ResNet50,37,0.8585379719734192,0.849609375
ResNet50,38,0.8373326063156128,0.861328125
ResNet50,39,0.8523995280265808,0.857421875
ResNet50,40,0.8557477593421936,0.8544921875
ResNet50,41,0.8621651530265808,0.8671875
ResNet50,42,0.8702567219734192,0.8759765625
ResNet50,43,0.8683035969734192,0.8671875
ResNet50,44,0.8724888563156128,0.869140625
ResNet50,45,0.8646763563156128,0.8759765625
ResNet50,46,0.8563057780265808,0.8720703125
ResNet50,47,0.873046875,0.8818359375
ResNet50,48,0.8451451063156128,0.8681640625
ResNet50,49,0.8504464030265808,0.869140625
ResNet50,50,0.8563057780265808,0.859375
ResNet50,51,0.849609375,0.83203125
ResNet50,52,0.8468192219734192,0.8603515625
ResNet50,53,0.8551897406578064,0.8583984375
ResNet50,54,0.8811383843421936,0.8681640625
ResNet50,55,0.8459821343421936,0.8798828125
